Phosphatidylinositol (PtdIns) synthase is a key enzyme in the phospholipid pathway and catalyses the formation of PtdIns. PtdIns is not only a structural component of cell membranes, but also the precursor of the phospholipid signal molecules that regulate plant response to environment stresses. Here, we obtained transgenic maize constitutively overexpressing or underexpressing PIS from maize (ZmPIS) under the control of a maize ubiquitin promoter. Transgenic plants were confirmed by PCR, Southern blotting analysis and real-time RT-PCR assay. The electrospray ionization tandem mass spectrometry (ESI-MS/MS)-based lipid profiling analysis showed that, under drought stress conditions, the overexpression of ZmPIS in maize resulted in significantly elevated levels of most phospholipids and galactolipids in leaves compared with those in wild type (WT). At the same time, the expression of some genes involved in the phospholipid metabolism pathway and the abscisic acid (ABA) biosynthesis pathway including ZmPLC, ZmPLD, ZmDGK1, ZmDGK3, ZmPIP5K9, ZmABA1, ZmNCED, ZmAAO1, ZmAAO2 and ZmSCA1 was markedly up-regulated in the overexpression lines after drought stress. Consistent with these results, the drought stress tolerance of the ZmPIS sense transgenic plants was enhanced significantly at the pre-flowering stages compared with WT maize plants. These results imply that ZmPIS regulates the plant response to drought stress through altering membrane lipid composition and increasing ABA synthesis in maize.

ZmPIS: !enhances! drought stress tolerance
ZmPIS: !regulates! plant response to drought stress
ZmPLC: !up-regulated by! ZmPIS
ZmPLD: !up-regulated by! ZmPIS
ZmDGK1: !up-regulated by! ZmPIS
ZmDGK3: !up-regulated by! ZmPIS
ZmPIP5K9: !up-regulated by! ZmPIS
ZmABA1: !up-regulated by! ZmPIS
ZmNCED: !up-regulated by! ZmPIS
ZmAAO1: !up-regulated by! ZmPIS
ZmAAO2: !up-regulated by! ZmPIS
ZmSCA1: !up-regulated by! ZmPIS
PtdIns: !synthesized by! ZmPIS
Phospholipids: !elevated by! ZmPIS
Galactolipids: !elevated by! ZmPIS
