To gain insights into the molecular mechanisms underlying hormonal regulation in adventitious roots and during their emergence under waterlogged conditions in wheat, the present study investigated transcriptional regulation of genes related to hormone metabolism and transport in the root and stem node tissues. Waterlogging-induced inhibition of axile root elongation and lateral root formation, and promotion of surface adventitious and axile root emergence and aerenchyma formation are associated with enhanced expression levels of ethylene biosynthesis genes, ACS7 and ACO2, in both tissues. Inhibition of axile root elongation is also related to increased root indole acetic acid (IAA) and jasmonate (JA) levels that are associated with up-regulation of specific IAA biosynthesis/transport (TDC, YUC1, and PIN9) and JA metabolism (LOX8, AOS1, AOC1, and JAR1) genes, and transcriptional alteration of gibberellin (GA) metabolism genes (GA3ox2 and GA2ox8). Adventitious root emergence from waterlogged stem nodes is associated with increased levels of IAA and GA but decreased levels of cytokinin and abscisic acid (ABA), which are regulated through the expression of specific IAA biosynthesis/transport (TDC, YUC1, and PIN9), cytokinin metabolism (IPT5-2, LOG1, CKX5, and ZOG2), ABA biosynthesis (NCED1 and NCED2), and GA metabolism (GA3ox2 and GA2ox8) genes. These results enhance our understanding of the molecular mechanisms underlying the adaptive response of wheat to waterlogging.

ACS7: !enhances! ethylene biosynthesis
ACO2: !enhances! ethylene biosynthesis
TDC: !synthesizes! IAA
YUC1: !synthesizes! IAA
PIN9: !synthesizes! IAA
LOX8: !metabolizes! JA
AOS1: !metabolizes! JA
AOC1: !metabolizes! JA
JAR1: !metabolizes! JA
GA3ox2: !metabolizes! GA
GA2ox8: !metabolizes! GA
IPT5-2: !metabolizes! cytokinin
LOG1: !metabolizes! cytokinin
CKX5: !metabolizes! cytokinin
ZOG2: !metabolizes! cytokinin
NCED1: !synthesizes! ABA
NCED2: !synthesizes! ABA
