Soil salinity is a major abiotic stress factor that limits agricultural productivity worldwide, and this problem is expected to grow in the future. Common bean is an important protein source in developing countries however highly susceptible to salt stress. To understand the underlying mechanism of salt stress responses, transcriptomics, metabolomics, and ion content analysis were performed on both salt-tolerant and susceptible common bean genotypes in saline conditions. Transcriptomics has demonstrated increased photosynthesis in saline conditions for tolerant genotype while the susceptible genotype acted in contrast. Transcriptome also displayed active carbon and amino-acid metabolism for the tolerant genotype. Analysis of metabolites with GC-MS demonstrated the boosted carbohydrate metabolism in the tolerant genotype with increased sugar content as well as better amino-acid metabolism. Accumulation of lysine, valine, and isoleucine in the roots of the susceptible genotype suggested a halted stress response. According to ion content comparison, the tolerant genotype managed to block accumulation of Na<sup>+</sup> in the leaves while accumulating significantly less Na<sup>+</sup> in the roots compared to susceptible genotype. K<sup>+</sup> levels increased in the leaves of both genotype and the roots of the susceptible one but dropped in the roots of the tolerant genotype. Additionally, Zn<sup>+2</sup> and Mn<sup>+2</sup> levels were dropped in the tolerant roots, while Mo<sup>+2</sup> levels were significantly higher in all tissues in both control and saline conditions for tolerant genotype. The results of the presented study have demonstrated the differences in contrasting genotypes and thus provide valuable information on the pivotal molecular mechanisms underlying salt tolerance.

Gene: !affects! Photosynthesis
Gene: !affects! Carbon metabolism
Gene: !affects! Amino-acid metabolism
Gene: !affects! Sugar content
Gene: !affects! Lysine content
Gene: !affects! Valine content
Gene: !affects! Isoleucine content
Gene: !affects! Na<sup>+</sup> accumulation
Gene: !affects! K<sup>+</sup> accumulation
Gene: !affects! Zn<sup>+2</sup> accumulation
Gene: !affects! Mn<sup>+2</sup> accumulation
Gene: !affects! Mo<sup>+2</sup> accumulation
