<i>Rosa roxburghii</i> fruit were used as research objects to study the effects of different concentrations of benzothiazole (BTH) treatment on quality parameters, reactive oxygen species (ROS) metabolism, and the phenylpropanoid pathway during storage at 4°C for 14days. Results showed that BTH effectively delayed senescence with lower decay incidence, weight loss, and lipid peroxidation level and maintained the quality with higher contents of total soluble solid (TSS) content, titratable acidity (TA) in <i>R. roxburghii</i> fruit. Moreover, BTH increased hydrogen peroxide (H<sub>2</sub>O<sub>2</sub>) content, superoxide anion (O<sub>2</sub> <sup>•-</sup>) production rate, and the activities and expression of superoxide dismutase (SOD), catalase (CAT), ascorbate peroxidase (APX), glutathione (GSH) reductase (GR), monodehydroascorbate reductase (MDHAR), dehydroascorbate reductase (DHAR), and peroxidase (POD), and the contents of GSH and ascorbic acid (AsA), but reduced the oxidized GSH (GSSG) content. In addition, the activities and gene expression of phenylalanine ammonia lyase (PAL), cinnamate 4-hydroxylase (C4H), and 4-coumarate-CoA ligase (4CL) and the concentrations of flavonoids, total phenols, and lignin were significantly elevated by BTH. These findings imply that BTH can delay senescence and maintain the quality of <i>R. roxburghii</i> fruit by modulating ROS metabolism and the phenylpropanoid pathway under low-temperature conditions.

BTH: !delays senescence of! R. roxburghii
BTH: !maintains quality of! R. roxburghii
BTH: !increases activity of! SOD
BTH: !increases activity of! CAT
BTH: !increases activity of! APX
BTH: !increases activity of! GR
BTH: !increases activity of! MDHAR
BTH: !increases activity of! DHAR
BTH: !increases activity of! POD
BTH: !increases expression of! PAL
BTH: !increases expression of! C4H
BTH: !increases expression of! 4CL
BTH: !increases concentrations of! flavonoids
BTH: !increases concentrations of! total phenols
BTH: !increases concentrations of! lignin
