Reprogramming of microspores development towards embryogenesis mediated by stress treatment constitutes the basis of doubled haploid production. Recently, compounds that alter histone post-translational modifications (PTMs) have been reported to enhance microspore embryogenesis (ME), by altering histones acetylation or methylation. However, epigenetic mechanisms underlying ME induction efficiency are poorly understood. In this study, the epigenetic dynamics and the expression of genes associated with histone PTMs and ME induction were studied in two bread wheat cultivars with different ME response. Microspores isolated at 0, 3 and 5 days, treated with 0.7M mannitol (MAN) and 0.7M mannitol plus 0.4µM trichostatin A (TSA), which induced ME more efficiently, were analyzed. An additional control of gametophytic development was included. Microspores epigenetic state at the onset of ME induction was distinctive between cultivars by the ratio of H3 variants and their acetylated forms, the localization and percentage of labeled microspores with H3K9ac, H4K5ac, H4K16ac, H3K9me2 and H3K27me3, and the expression of genes related to pollen development. These results indicated that microspores of the high responding cultivar could be at a less advanced stage in pollen development. MAN and TSA resulted in a hyperacetylation of H3.2, with a greater effect of TSA. Histone PTMs were differentially affected by both treatments, with acetylation being most concerned. The effect of TSA was observed in the H4K5ac localization pattern at 3dT in the mid-low responding cultivar. Three gene networks linked to ME response were identified. <i>TaHDT1, TaHAG2, TaYAO</i>, <i>TaNFD6-A</i>, <i>TabZIPF1</i> and <i>TaAGO802-B</i>, associated with pollen development, were down-regulated. <i>TaHDA15</i>, <i>TaHAG3</i>, <i>TaHAM, TaYUC11D</i>, <i>Ta-2B-LBD16 TaMS1</i> and <i>TaDRM3</i> constituted a network implicated in morphological changes by auxin signaling and cell wall modification up-regulated at 3dT. The last network included <i>TaHDA18, TaHAC1</i>, <i>TaHAC4, TaABI5</i>, <i>TaATG18fD, TaSDG1a-7A</i> and was related to ABA and ethylene hormone signaling pathways, DNA methylation and autophagy processes, reaching the highest expression at 5dT. The results indicated that TSA mainly modified the regulation of genes related to pollen and auxin signaling. This study represents a breakthrough in identifying the epigenetic dynamics and the molecular mechanisms governing ME induction efficiency, with relevance to recalcitrant wheat genotypes and other crops.

TaHDT1: !down-regulated by! MAN, TSA
TaHAG2: !down-regulated by! MAN, TSA
TaYAO: !down-regulated by! MAN, TSA
TaNFD6-A: !down-regulated by! MAN, TSA
TabZIPF1: !down-regulated by! MAN, TSA
TaAGO802-B: !down-regulated by! MAN, TSA
TaHDA15: !up-regulated by! MAN, TSA
TaHAG3: !up-regulated by! MAN, TSA
TaHAM: !up-regulated by! MAN, TSA
TaYUC11D: !up-regulated by! MAN, TSA
Ta-2B-LBD16: !up-regulated by! MAN, TSA
TaMS1: !up-regulated by! MAN, TSA
TaDRM3: !up-regulated by! MAN, TSA
TaHDA18: !up-regulated by! MAN, TSA
TaHAC1: !up-regulated by! MAN, TSA
TaHAC4: !up-regulated by! MAN, TSA
TaABI5: !up-regulated by
