Trypsin inhibitors (TIs) are widely distributed in plants and are known to play a protective role against herbivores. TIs reduce the biological activity of trypsin, an enzyme involved in the breakdown of many different proteins, by inhibiting the activation and catalytic reactions of proteins. Soybean (<i>Glycine max</i>) contains two major TI classes: Kunitz trypsin inhibitor (KTI) and Bowman-Birk inhibitor (BBI). Both genes encoding TI inactivate trypsin and chymotrypsin enzymes, which are the main digestive enzymes in the gut fluids of Lepidopteran larvae feeding on soybean. In this study, the possible role of soybean TIs in plant defense against insects and nematodes was investigated. A total of six TIs were tested, including three known soybean trypsin inhibitors (KTI1, KTI2 and KTI3) and three genes encoding novel inhibitors identified in soybean (KTI5, KTI7, and BBI5). Their functional role was further examined by overexpression of the individual TI genes in soybean and Arabidopsis. The endogenous expression patterns of these TI genes varied among soybean tissues, including leaf, stem, seed, and root. <i>In vitro</i> enzyme inhibitory assays showed significant increase in trypsin and chymotrypsin inhibitory activities in both transgenic soybean and Arabidopsis. Detached leaf-punch feeding bioassays detected significant reduction in corn earworm (<i>Helicoverpa zea</i>) larval weight when larvae fed on transgenic soybean and Arabidopsis lines, with the greatest reduction observed in KTI7 and BBI5 overexpressing lines. Whole soybean plant greenhouse feeding bioassays with <i>H. zea</i> on KTI7 and BBI5 overexpressing lines resulted in significantly reduced leaf defoliation compared to non-transgenic plants. However, bioassays of KTI7 and BBI5 overexpressing lines with soybean cyst nematode (SCN, <i>Heterodera glycines</i>) showed no differences in SCN female index between transgenic and non-transgenic control plants. There were no significant differences in growth and productivity between transgenic and non-transgenic plants grown in the absence of herbivores to full maturity under greenhouse conditions. The present study provides further insight into the potential applications of TI genes for insect resistance improvement in plants.

KTI1: !inactivates! trypsin
KTI2: !inactivates! trypsin
KTI3: !inactivates! trypsin
KTI5: !inactivates! trypsin
KTI7: !inactivates! trypsin
BBI5: !inactivates! trypsin
KTI1: !localizes to! soybean
KTI2: !localizes to! soybean
KTI3: !localizes to! soybean
KTI5: !localizes to! soybean
KTI7: !localizes to! soybean
BBI5: !localizes to! soybean
KTI7: !enhances! insect resistance
BBI5: !enhances! insect resistance
KTI7: !represses! nematode resistance
BBI5: !represses! nematode resistance
